keys,ar,en,fr,pt_BR,ru,es
SETTINGS,الإعدادات,SETTINGS,Paramètres,Configurações,Настройки,Configuración
LANGUAGE,اللغة,LANGUAGE,Langue,Idioma,Язык,Idioma
HOW TO PLAY?,كيفية اللعب,HOW TO PLAY?,Comment jouer,Como Jogar,Как играть,Cómo jugar
English,الإنجليزية,English,Anglais,Inglês,Английский,Inglés
Spanish,الإسبانية,Spanish,Espagnol,Espanhol,Испанский,Español
Portuguese,البرتغالية,Portuguese,Portugais,Português,Португальский,Portugués
Arabic,العربية,Arabic,Arabe,Árabe,Арабский,Árabe
French,الفرنسية,French,Français,Francês,Французский,Francés
Russian,الروسية,Russian,Russe,Russo,Русский,Ruso
Privacy Policy,سياسة الخصوصية,Privacy Policy,Politique de confidentialité,Política de Privacidade,Политика конфиденциальности,Política de privacidad
"Tap to rotate and
complete the road","اضغط للتدوير و
إكمال الطريق","Tap to rotate and
complete the road","Touchez pour pivoter et
compléter la route","Toque para girar e
completar a estrada","Нажмите, чтобы повернуть и
завершить дорогу","Toca para girar y
completar el camino"
Hint,تلميح,Hint,Indice,Dica,Подсказка,Pista
Preview the solution,معاينة الحل,Preview the solution,Aperçu de la solution,Visualizar a solução,Предпросмотр решения,Vista previa de la solución
Solve half instantly,حل نصف المستوى فورًا,Solve half instantly,Résoudre la moitié instantanément,Resolver metade instantaneamente,Мгновенно решить половину,Resolver la mitad al instante
Second chance to win,فرصة ثانية للفوز,Second chance to win,Deuxième chance de gagner,Segunda chance de vencer,Второй шанс победить,Segunda oportunidad para ganar
Restart the level,إعادة تشغيل المستوى,Restart the level,Redémarrer le niveau,Reiniciar o nível,Перезапустить уровень,Reiniciar el nivel
Label,تسمية,Label,Étiquette,Rótulo,Метка,Etiqueta
PAUSE,إيقاف مؤقت,PAUSE,PAUSE,PAUSA,ПАУЗА,PAUSA
Level,المستوى,Level,Niveau,Nível,Уровень,Nivel
FAILED,فشل,FAILED,Échec,Falhou,Провал,Fallido
WINNER!,الفائز!,WINNER!,GAGNANT !,VENCEDOR!,ПОБЕДИТЕЛЬ!,¡GANADOR!
Failed,فشل,Failed,Échec,Falhou,Провал,Fallido
Credit,ائتمان,Credit,Crédit,Crédito,Кредит,Crédito
CREDIT,ائتمان,CREDIT,CRÉDIT,CRÉDITO,КРЕДИТ,CRÉDITO
